TOTAL ELEMENTS: 
2048
BST delete avg time: series 1, i: 15, time: 0.004732083022594452}, IS_SORTED: true
AVL delete total time: series 1, i: 16, time: 0.17250001430511475}, IS_SORTED: true 
AVL delete avg time: series 1, i: 16, time: 0.0001570419669151306}, IS_SORTED: true
BST delete total time: series 1, i: 16, time: 0.07337498664855957}, IS_SORTED: true
BST delete avg time: series 1, i: 16, time: 0.004635334014892578}, IS_SORTED: true
AVL delete total time: series 1, i: 17, time: 0.17787504196166992}, IS_SORTED: true 
AVL delete avg time: series 1, i: 17, time: 0.00015591603517532349}, IS_SORTED: true
BST delete total time: series 1, i: 17, time: 0.07420802116394043}, IS_SORTED: true
BST delete avg time: series 1, i: 17, time: 0.004645291984081268}, IS_SORTED: true
AVL delete total time: series 1, i: 18, time: 0.17166703939437866}, IS_SORTED: true 
AVL delete avg time: series 1, i: 18, time: 0.00016295903921127318}, IS_SORTED: true
BST delete total time: series 1, i: 18, time: 0.1425410509109497}, IS_SORTED: true
BST delete avg time: series 1, i: 18, time: 0.004046916007995605}, IS_SORTED: true
AVL delete total time: series 1, i: 19, time: 0.5144169926643372}, IS_SORTED: true 
AVL delete avg time: series 1, i: 19, time: 0.000358165979385376}, IS_SORTED: true
BST delete total time: series 1, i: 19, time: 0.20875000953674316}, IS_SORTED: true
BST delete avg time: series 1, i: 19, time: 0.0040825000405311585}, IS_SORTED: true
TOTAL ELEMENTS: 
4096
AVL insertion time: series 2, i: 0, time: 1.769333004951477}, IS_SORTED: false
BST insertion time: series 2, i: 0, time: 0.4542499780654907}, IS_SORTED: false
AVL insertion time: series 2, i: 1, time: 1.0768340229988098}, IS_SORTED: false
BST insertion time: series 2, i: 1, time: 0.37862497568130493}, IS_SORTED: false
AVL insertion time: series 2, i: 2, time: 1.0862500071525574}, IS_SORTED: false
BST insertion time: series 2, i: 2, time: 0.3944169878959656}, IS_SORTED: false
AVL insertion time: series 2, i: 3, time: 1.2904160022735596}, IS_SORTED: false
BST insertion time: series 2, i: 3, time: 0.37895798683166504}, IS_SORTED: false
AVL insertion time: series 2, i: 4, time: 1.0699999928474426}, IS_SORTED: false
BST insertion time: series 2, i: 4, time: 0.3821669816970825}, IS_SORTED: false
AVL insertion time: series 2, i: 5, time: 1.0695409774780273}, IS_SORTED: false
BST insertion time: series 2, i: 5, time: 0.37929201126098633}, IS_SORTED: false
AVL insertion time: series 2, i: 6, time: 1.1273339986801147}, IS_SORTED: false
BST insertion time: series 2, i: 6, time: 0.577750027179718}, IS_SORTED: false
AVL insertion time: series 2, i: 7, time: 1.085207998752594}, IS_SORTED: false
BST insertion time: series 2, i: 7, time: 0.37583404779434204}, IS_SORTED: false
AVL insertion time: series 2, i: 8, time: 1.0757499933242798}, IS_SORTED: false
BST insertion time: series 2, i: 8, time: 0.37975001335144043}, IS_SORTED: false
AVL insertion time: series 2, i: 9, time: 1.0694999694824219}, IS_SORTED: false
BST insertion time: series 2, i: 9, time: 0.6830000281333923}, IS_SORTED: false
AVL insertion time: series 2, i: 10, time: 1.0708749890327454}, IS_SORTED: true
BST insertion time: series 2, i: 10, time: 16.922917008399963}, IS_SORTED: true
AVL insertion time: series 2, i: 11, time: 1.0697499513626099}, IS_SORTED: true
BST insertion time: series 2, i: 11, time: 17.783167004585266}, IS_SORTED: true
AVL insertion time: series 2, i: 12, time: 1.0706250071525574}, IS_SORTED: true
BST insertion time: series 2, i: 12, time: 18.440708994865417}, IS_SORTED: true
AVL insertion time: series 2, i: 13, time: 1.0516249537467957}, IS_SORTED: true
BST insertion time: series 2, i: 13, time: 18.79079097509384}, IS_SORTED: true
AVL insertion time: series 2, i: 14, time: 0.6919170022010803}, IS_SORTED: true
BST insertion time: series 2, i: 14, time: 18.84975004196167}, IS_SORTED: true
AVL insertion time: series 2, i: 15, time: 0.7167080044746399}, IS_SORTED: true
BST insertion time: series 2, i: 15, time: 20.427040994167328}, IS_SORTED: true
AVL insertion time: series 2, i: 16, time: 0.7170420289039612}, IS_SORTED: true
BST insertion time: series 2, i: 16, time: 19.467791974544525}, IS_SORTED: true
AVL insertion time: series 2, i: 17, time: 0.7094590067863464}, IS_SORTED: true
BST insertion time: series 2, i: 17, time: 18.59512495994568}, IS_SORTED: true
AVL insertion time: series 2, i: 18, time: 0.7162500023841858}, IS_SORTED: true
BST insertion time: series 2, i: 18, time: 18.491583049297333}, IS_SORTED: true
AVL insertion time: series 2, i: 19, time: 0.7144579887390137}, IS_SORTED: true
BST insertion time: series 2, i: 19, time: 18.88733398914337}, IS_SORTED: true
AVL search total time: series 2, i: 0, time: 0.19983303546905518}, IS_SORTED: false
AVL search avg time: series 2, i: 0, time: 0.00019983303546905517}, IS_SORTED: false
BST search total time: series 2, i: 0, time: 0.2114580273628235}, IS_SORTED: false
BST search avg time: series 2, i: 0, time: 0.0002114580273628235}, IS_SORTED: false
AVL search total time: series 2, i: 1, time: 0.16195803880691528}, IS_SORTED: false
AVL search avg time: series 2, i: 1, time: 0.00016195803880691528}, IS_SORTED: false
BST search total time: series 2, i: 1, time: 0.16904199123382568}, IS_SORTED: false
BST search avg time: series 2, i: 1, time: 0.0001690419912338257}, IS_SORTED: false
AVL search total time: series 2, i: 2, time: 0.16558396816253662}, IS_SORTED: false
AVL search avg time: series 2, i: 2, time: 0.00016558396816253662}, IS_SORTED: false
BST search total time: series 2, i: 2, time: 0.1737079620361328}, IS_SORTED: false
BST search avg time: series 2, i: 2, time: 0.0001737079620361328}, IS_SORTED: false
AVL search total time: series 2, i: 3, time: 0.16279202699661255}, IS_SORTED: false
AVL search avg time: series 2, i: 3, time: 0.00016279202699661256}, IS_SORTED: false
BST search total time: series 2, i: 3, time: 0.16975003480911255}, IS_SORTED: false
BST search avg time: series 2, i: 3, time: 0.00016975003480911255}, IS_SORTED: false
AVL search total time: series 2, i: 4, time: 0.1637919545173645}, IS_SORTED: false
AVL search avg time: series 2, i: 4, time: 0.0001637919545173645}, IS_SORTED: false
BST search total time: series 2, i: 4, time: 0.16608399152755737}, IS_SORTED: false
BST search avg time: series 2, i: 4, time: 0.00016608399152755738}, IS_SORTED: false
AVL search total time: series 2, i: 5, time: 0.16116702556610107}, IS_SORTED: false
AVL search avg time: series 2, i: 5, time: 0.00016116702556610109}, IS_SORTED: false
BST search total time: series 2, i: 5, time: 0.1782500147819519}, IS_SORTED: false
BST search avg time: series 2, i: 5, time: 0.00017825001478195192}, IS_SORTED: false
AVL search total time: series 2, i: 6, time: 0.16816699504852295}, IS_SORTED: false
AVL search avg time: series 2, i: 6, time: 0.00016816699504852294}, IS_SORTED: false
BST search total time: series 2, i: 6, time: 0.16679197549819946}, IS_SORTED: false
BST search avg time: series 2, i: 6, time: 0.00016679197549819945}, IS_SORTED: false
AVL search total time: series 2, i: 7, time: 0.1616249680519104}, IS_SORTED: false
AVL search avg time: series 2, i: 7, time: 0.0001616249680519104}, IS_SORTED: false
BST search total time: series 2, i: 7, time: 0.16825002431869507}, IS_SORTED: false
BST search avg time: series 2, i: 7, time: 0.00016825002431869506}, IS_SORTED: false
AVL search total time: series 2, i: 8, time: 0.1625000238418579}, IS_SORTED: false
AVL search avg time: series 2, i: 8, time: 0.0001625000238418579}, IS_SORTED: false
BST search total time: series 2, i: 8, time: 0.16825002431869507}, IS_SORTED: false
BST search avg time: series 2, i: 8, time: 0.00016825002431869506}, IS_SORTED: false
AVL search total time: series 2, i: 9, time: 0.1624169945716858}, IS_SORTED: false
AVL search avg time: series 2, i: 9, time: 0.0001624169945716858}, IS_SORTED: false
