Avl delete 1000 elements time: 0.13920801877975464 on militplier: 10, i: 46
Cart find 1000 elements time: 0.19779199361801147 on militplier: 10, i: 46
Avl find 1000 elements time: 0.0030409693717956543 on militplier: 10, i: 46
Cart insert 1000 elements time: 0.2681249976158142 on militplier: 10, i: 47
Avl insert 1000 elements time: 0.24195802211761475 on militplier: 10, i: 47
Cart delete 1000 elements time: 0.14933300018310547 on militplier: 10, i: 47
Avl delete 1000 elements time: 0.1368749737739563 on militplier: 10, i: 47
Cart find 1000 elements time: 0.15474998950958252 on militplier: 10, i: 47
Avl find 1000 elements time: 0.0027089715003967285 on militplier: 10, i: 47
Cart insert 1000 elements time: 0.2387089729309082 on militplier: 10, i: 48
Avl insert 1000 elements time: 0.5532499551773071 on militplier: 10, i: 48
Cart delete 1000 elements time: 0.0991249680519104 on militplier: 10, i: 48
Avl delete 1000 elements time: 0.13237500190734863 on militplier: 10, i: 48
Cart find 1000 elements time: 0.13291597366333008 on militplier: 10, i: 48
Avl find 1000 elements time: 0.002665996551513672 on militplier: 10, i: 48
Cart insert 1000 elements time: 0.2156670093536377 on militplier: 10, i: 49
Avl insert 1000 elements time: 0.21712499856948853 on militplier: 10, i: 49
Cart delete 1000 elements time: 0.5235829949378967 on militplier: 10, i: 49
Avl delete 1000 elements time: 0.12487494945526123 on militplier: 10, i: 49
Cart find 1000 elements time: 0.1368749737739563 on militplier: 10, i: 49
Avl find 1000 elements time: 0.002499997615814209 on militplier: 10, i: 49
Cart insert 1000 elements time: 0.6733749508857727 on militplier: 10, i: 0
Avl insert 1000 elements time: 2.404667019844055 on militplier: 10, i: 0
Cart delete 1000 elements time: 0.8359159827232361 on militplier: 10, i: 0
Avl delete 1000 elements time: 2.0115000009536743 on militplier: 10, i: 0
Cart find 1000 elements time: 1.5337080359458923 on militplier: 10, i: 0
Avl find 1000 elements time: 0.6064170002937317 on militplier: 10, i: 0
Cart insert 1000 elements time: 0.822333037853241 on militplier: 10, i: 1
Avl insert 1000 elements time: 1.1662079691886902 on militplier: 10, i: 1
Cart delete 1000 elements time: 0.6632909774780273 on militplier: 10, i: 1
Avl delete 1000 elements time: 1.1422079801559448 on militplier: 10, i: 1
Cart find 1000 elements time: 0.2775830030441284 on militplier: 10, i: 1
Avl find 1000 elements time: 0.08033400774002075 on militplier: 10, i: 1
Cart insert 1000 elements time: 0.5270410180091858 on militplier: 10, i: 2
Avl insert 1000 elements time: 0.992292046546936 on militplier: 10, i: 2
Cart delete 1000 elements time: 0.8892500400543213 on militplier: 10, i: 2
Avl delete 1000 elements time: 1.3483750224113464 on militplier: 10, i: 2
Cart find 1000 elements time: 0.3231250047683716 on militplier: 10, i: 2
Avl find 1000 elements time: 0.08804202079772949 on militplier: 10, i: 2
Cart insert 1000 elements time: 0.6987500190734863 on militplier: 10, i: 3
Avl insert 1000 elements time: 0.3726249933242798 on militplier: 10, i: 3
Cart delete 1000 elements time: 0.3227909803390503 on militplier: 10, i: 3
Avl delete 1000 elements time: 1.6106249690055847 on militplier: 10, i: 3
Cart find 1000 elements time: 0.34445899724960327 on militplier: 10, i: 3
Avl find 1000 elements time: 0.08474999666213989 on militplier: 10, i: 3
Cart insert 1000 elements time: 0.7357919812202454 on militplier: 10, i: 4
Avl insert 1000 elements time: 0.24991601705551147 on militplier: 10, i: 4
Cart delete 1000 elements time: 0.3645419478416443 on militplier: 10, i: 4
Avl delete 1000 elements time: 0.39716601371765137 on militplier: 10, i: 4
Cart find 1000 elements time: 0.3424999713897705 on militplier: 10, i: 4
Avl find 1000 elements time: 0.09695899486541748 on militplier: 10, i: 4
Cart insert 1000 elements time: 1.9819999933242798 on militplier: 10, i: 5
Avl insert 1000 elements time: 0.4707909822463989 on militplier: 10, i: 5
Cart delete 1000 elements time: 0.5061660408973694 on militplier: 10, i: 5
Avl delete 1000 elements time: 0.5910419821739197 on militplier: 10, i: 5
Cart find 1000 elements time: 0.29499995708465576 on militplier: 10, i: 5
Avl find 1000 elements time: 0.003000020980834961 on militplier: 10, i: 5
Cart insert 1000 elements time: 0.9283750057220459 on militplier: 10, i: 6
Avl insert 1000 elements time: 0.23650002479553223 on militplier: 10, i: 6
Cart delete 1000 elements time: 0.5168330073356628 on militplier: 10, i: 6
Avl delete 1000 elements time: 0.48308396339416504 on militplier: 10, i: 6
Cart find 1000 elements time: 0.26795899868011475 on militplier: 10, i: 6
Avl find 1000 elements time: 0.0028330087661743164 on militplier: 10, i: 6
Cart insert 1000 elements time: 0.6851660013198853 on militplier: 10, i: 7
Avl insert 1000 elements time: 0.2212499976158142 on militplier: 10, i: 7
Cart delete 1000 elements time: 0.5004170536994934 on militplier: 10, i: 7
Avl delete 1000 elements time: 0.46720796823501587 on militplier: 10, i: 7
Cart find 1000 elements time: 0.34641599655151367 on militplier: 10, i: 7
Avl find 1000 elements time: 0.0030409693717956543 on militplier: 10, i: 7
Cart insert 1000 elements time: 1.924875020980835 on militplier: 10, i: 8
Avl insert 1000 elements time: 0.4874590039253235 on militplier: 10, i: 8
Cart delete 1000 elements time: 0.4938749670982361 on militplier: 10, i: 8
Avl delete 1000 elements time: 0.4461669921875 on militplier: 10, i: 8
Cart find 1000 elements time: 0.2732090353965759 on militplier: 10, i: 8
Avl find 1000 elements time: 0.0027920007705688477 on militplier: 10, i: 8
Cart insert 1000 elements time: 1.2099170088768005 on militplier: 10, i: 9
Avl insert 1000 elements time: 0.6117919683456421 on militplier: 10, i: 9
Cart delete 1000 elements time: 0.48350000381469727 on militplier: 10, i: 9
Avl delete 1000 elements time: 0.45945799350738525 on militplier: 10, i: 9
Cart find 1000 elements time: 0.2774999737739563 on militplier: 10, i: 9
Avl find 1000 elements time: 0.0029160380363464355 on militplier: 10, i: 9
Cart insert 1000 elements time: 0.7641249895095825 on militplier: 10, i: 10
Avl insert 1000 elements time: 0.2339169979095459 on militplier: 10, i: 10
Cart delete 1000 elements time: 0.4742079973220825 on militplier: 10, i: 10
Avl delete 1000 elements time: 0.43608295917510986 on militplier: 10, i: 10
Cart find 1000 elements time: 0.2419160008430481 on militplier: 10, i: 10
Avl find 1000 elements time: 0.002707958221435547 on militplier: 10, i: 10
Cart insert 1000 elements time: 0.4802500009536743 on militplier: 10, i: 11
Avl insert 1000 elements time: 0.250124990940094 on militplier: 10, i: 11
Cart delete 1000 elements time: 0.46904200315475464 on militplier: 10, i: 11
Avl delete 1000 elements time: 0.45250004529953003 on militplier: 10, i: 11
Cart find 1000 elements time: 0.2720419764518738 on militplier: 10, i: 11
Avl find 1000 elements time: 0.002875030040740967 on militplier: 10, i: 11
Cart insert 1000 elements time: 0.5174580216407776 on militplier: 10, i: 12
Avl insert 1000 elements time: 0.25908297300338745 on militplier: 10, i: 12
Cart delete 1000 elements time: 1.2953330278396606 on militplier: 10, i: 12
Avl delete 1000 elements time: 0.5752919912338257 on militplier: 10, i: 12
Cart find 1000 elements time: 0.25770801305770874 on militplier: 10, i: 12
Avl find 1000 elements time: 0.0027499794960021973 on militplier: 10, i: 12
Cart insert 1000 elements time: 0.7680419683456421 on militplier: 10, i: 13
Avl insert 1000 elements time: 0.2434590458869934 on militplier: 10, i: 13
Cart delete 1000 elements time: 0.4814170002937317 on militplier: 10, i: 13
Avl delete 1000 elements time: 0.44541704654693604 on militplier: 10, i: 13
Cart find 1000 elements time: 0.2576249837875366 on militplier: 10, i: 13
Avl find 1000 elements time: 0.002875030040740967 on militplier: 10, i: 13
Cart insert 1000 elements time: 0.5313329696655273 on militplier: 10, i: 14
Avl insert 1000 elements time: 0.29979199171066284 on militplier: 10, i: 14
Cart delete 1000 elements time: 0.49024999141693115 on militplier: 10, i: 14
Avl delete 1000 elements time: 0.4524170160293579 on militplier: 10, i: 14
Cart find 1000 elements time: 0.266834020614624 on militplier: 10, i: 14
Avl find 1000 elements time: 0.002834022045135498 on militplier: 10, i: 14
Cart insert 1000 elements time: 0.7687079906463623 on militplier: 10, i: 15
Avl insert 1000 elements time: 0.27137500047683716 on militplier: 10, i: 15
